Symbol,Name,Market Cap,Sector
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,273162649600.0,Basic Materials
CHEMBOND.NS,Chembond Chemicals Limited,4609651200.0,Basic Materials
CHEMCON.NS,Chemcon Speciality Chemicals Limited,6736019456.0,Basic Materials
CHEMFAB.NS,Chemfab Alkalis Limited,11496706048.0,Basic Materials
CHEMPLASTS.NS,Chemplast Sanmar Limited,61132554240.0,Basic Materials
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,87894720512.0,Energy
CHEVIOT.NS,Cheviot Company Limited,6081397248.0,Consumer Cyclical
CHOICEIN.NS,Choice International Limited,123094089728.0,Financial Services
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,1270196994048.0,Financial Services
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,324929323008.0,Financial Services
CIEINDIA.NS,CIE Automotive India Limited,152560418816.0,Consumer Cyclical
CIFL.NS,Capital India Finance Limited,13776662528.0,Financial Services
CIGNITITEC.NS,Cigniti Technologies Limited,38258368512.0,Technology
CINELINE.NS,Cineline India Limited,2940872448.0,Communication Services
CINEVISTA.NS,Cinevista Limited,855833344.0,Communication Services
CIPLA.NS,Cipla Limited,1192076640256.0,Healthcare
CLEAN.NS,Clean Science and Technology Limited,126223949824.0,Basic Materials
CLEDUCATE.NS,CL Educate Limited,4352309760.0,Consumer Defensive
CLSEL.NS,Chaman Lal Setia Exports Ltd.,15232214016.0,Consumer Defensive
CMSINFO.NS,CMS Info Systems Limited,70183854080.0,Industrials
COALINDIA.NS,Coal India Limited,2351389474816.0,Energy
COASTCORP.NS,Coastal Corporation Limited,2385421568.0,Consumer Defensive
COCHINSHIP.NS,Cochin Shipyard Limited,388837179392.0,Industrials
COFFEEDAY.NS,Coffee Day Enterprises Limited,6234046464.0,Consumer Cyclical
COFORGE.NS,Coforge Limited,508400697344.0,Technology
